,Mean,Lower_ci,Upper_ci,Date,City
7843,170146.25009562177,162250.52812021246,178041.97207103108,2022-09,"Sidney, OH"
7844,170800.48702038356,162514.3297701417,179086.64427062543,2022-10,"Sidney, OH"
7845,171448.16636681673,162769.6300032468,180126.70273038666,2022-11,"Sidney, OH"
7846,172089.42128242858,163016.72069842028,181162.12186643688,2022-12,"Sidney, OH"
7847,172724.38221124993,163255.8856845076,182192.87873799226,2023-01,"Sidney, OH"
7848,138498.06990797888,137649.038490766,139347.10132519176,2021-02,"Cortland, NY"
7849,138985.6339977386,137676.6722543049,140294.5957411723,2021-03,"Cortland, NY"
7850,139464.70968340617,137730.29159041357,141199.12777639876,2021-04,"Cortland, NY"
7851,139935.61852265184,137783.46722620088,142087.7698191028,2021-05,"Cortland, NY"
7852,140398.6698919003,137828.33202487853,142969.00775892206,2021-06,"Cortland, NY"
7853,140854.16144778038,137862.172662842,143846.15023271876,2021-07,"Cortland, NY"
7854,141302.37957109444,137884.2157245975,144720.54341759137,2021-08,"Cortland, NY"
7855,141743.59979396907,137894.52882828956,145592.67075964858,2021-09,"Cortland, NY"
7856,142178.0872108246,137893.56745158765,146462.60697006155,2021-10,"Cortland, NY"
7857,142606.09687377617,137881.96533299502,147330.22841455732,2021-11,"Cortland, NY"
7858,143027.8741730563,137860.43014391797,148195.31820219464,2021-12,"Cortland, NY"
7859,143443.6552030263,137829.68916034437,149057.62124570826,2022-01,"Cortland, NY"
7860,143853.66711432236,137790.46035673766,149916.87387190707,2022-02,"Cortland, NY"
7861,144258.1284526617,137743.43708682244,150772.81981850098,2022-03,"Cortland, NY"
7862,144657.24948481406,137689.28029165417,151625.21867797396,2022-04,"Cortland, NY"
7863,145051.23251222473,137628.61497990342,152473.85004454604,2022-05,"Cortland, NY"
7864,145440.27217275693,137562.02916431148,153318.51518120238,2022-06,"Cortland, NY"
7865,145824.55573100358,137490.07421057395,154159.0372514332,2022-07,"Cortland, NY"
7866,146204.26335760148,137413.26598499806,154995.2607302049,2022-08,"Cortland, NY"
7867,146579.56839796447,137332.08643422974,155827.0503616992,2022-09,"Cortland, NY"
7868,146950.6376308365,137246.98537576562,156654.2898859074,2022-10,"Cortland, NY"
7869,147317.6315170503,137158.3823653761,157476.88066872448,2022-11,"Cortland, NY"
7870,147680.70443886222,137066.66856097878,158294.74031674565,2022-12,"Cortland, NY"
7871,148040.004930221,136972.20853554097,159107.80132490105,2023-01,"Cortland, NY"
7872,148506.76586150768,147115.29306893854,149898.23865407682,2021-02,"Washington, NC"
7873,148983.89795244002,146910.40541383697,151057.39049104307,2021-03,"Washington, NC"
7874,149453.03111225239,146785.35392336847,152120.7083011363,2021-04,"Washington, NC"
7875,149914.41885199462,146687.78243453032,153141.0552694589,2021-05,"Washington, NC"
7876,150368.30664816155,146599.50149855303,154137.11179777008,2021-06,"Washington, NC"
7877,150814.93219733302,146512.3471590853,155117.51723558074,2021-07,"Washington, NC"
7878,151254.52566274366,146422.2191577306,156086.83216775671,2021-08,"Washington, NC"
7879,151687.30991303807,146326.96704969023,157047.65277638592,2021-09,"Washington, NC"
7880,152113.5007534591,146225.4776002149,158001.52390670334,2021-10,"Washington, NC"
7881,152533.3071497091,146117.22767774644,158949.38662167173,2021-11,"Washington, NC"
7882,152946.9314447161,146002.04500574112,159891.81788369105,2021-12,"Washington, NC"
7883,153354.5695685304,145879.97160433396,160829.16753272683,2022-01,"Washington, NC"
7884,153756.4112415685,145751.18196268176,161761.64052045526,2022-02,"Washington, NC"
7885,154152.64017141584,145615.93215105805,162689.34819177364,2022-03,"Washington, NC"
7886,154543.434243392,145474.52726277825,163612.34122400574,2022-04,"Washington, NC"
7887,154928.96570507658,145327.3001353931,164530.63127476006,2022-05,"Washington, NC"
7888,155309.4013449867,145174.5972317843,165444.20545818907,2022-06,"Washington, NC"
7889,155684.90266559168,145016.76918436505,166353.0361468183,2022-07,"Washington, NC"
7890,156055.62605084444,144854.16444135417,167257.0876603347,2022-08,"Washington, NC"
7891,156421.72292840315,144687.1250129829,168156.3208438234,2022-09,"Washington, NC"
7892,156783.33992671166,144515.98365950296,169050.69619392036,2022-10,"Washington, NC"
7893,157140.61902710158,144341.06208023598,169940.17597396718,2022-11,"Washington, NC"
7894,157493.69771107376,144162.66980343757,170824.72561870996,2022-12,"Washington, NC"
7895,157842.70910291193,143981.10356946275,171704.31463636112,2023-01,"Washington, NC"
7896,103438.55347731267,102519.70400461664,104357.4029500087,2021-02,"Ardmore, OK"
7897,103831.97571229373,102509.10909332937,105154.84233125809,2021-03,"Ardmore, OK"
7898,104220.23017948917,102571.80135673305,105868.65900224529,2021-04,"Ardmore, OK"
7899,104603.46989984073,102667.90181964196,106539.03798003949,2021-05,"Ardmore, OK"
7900,104981.84336324122,102782.45866198286,107181.22806449958,2021-06,"Ardmore, OK"
7901,105355.49466270185,102908.08436179734,107802.90496360636,2021-07,"Ardmore, OK"
7902,105724.56362454669,103040.57578126127,108408.5514678321,2021-08,"Ardmore, OK"
7903,106089.18593475204,103177.32743901198,109001.0444304921,2021-09,"Ardmore, OK"
7904,106449.49326154482,103316.63027640045,109582.35624668919,2021-10,"Ardmore, OK"
7905,106805.6133743707,103457.3189448995,110153.90780384191,2021-11,"Ardmore, OK"
7906,107157.67025933957,103598.57731331384,110716.7632053653,2021-12,"Ardmore, OK"
